student_id,age,gender,course,year,daily_study_hours,daily_sleep_hours,screen_time_hours,stress_level,anxiety_score,depression_score,academic_pressure_score,financial_stress_score,social_support_score,physical_activity_hours,sleep_quality,attendance_percentage,cgpa,internet_quality,burnout_level
STU00001,18,Male,AIDS,1st Year,6.0,7.6,2.9,Low,1,2,3,2,8,1.2,Good,92.0,8.28,Good,Low
STU00002,24,Male,ECE,3rd Year,4.7,6.4,8.0,High,9,6,6,6,7,0.7,Poor,75.7,7.45,Good,High
STU00003,23,Male,AIML,3rd Year,7.8,7.3,7.6,High,9,6,8,9,5,1.3,Poor,84.6,7.26,Average,High
STU00004,21,Male,AIDS,1st Year,8.4,5.9,4.9,Medium,5,6,6,5,5,1.4,Poor,77.3,7.47,Average,Medium
STU00005,21,Female,CSE,1st Year,4.0,7.6,8.0,High,5,6,8,6,4,1.6,Average,82.9,6.44,Good,High
STU00006,24,Male,AIDS,2nd Year,3.5,4.9,5.5,High,8,7,7,7,2,0.5,Poor,80.6,7.7,Average,High
STU00007,18,Female,ECE,3rd Year,4.7,6.2,7.6,High,9,6,8,3,3,1.2,Poor,91.7,8.07,Good,High
STU00008,23,Male,CSE,3rd Year,4.5,5.9,8.1,High,8,7,7,4,5,0.8,Poor,89.3,8.24,Poor,High
STU00009,19,Female,CSE,3rd Year,7.9,6.6,3.8,Medium,5,6,5,2,5,1.7,Poor,90.1,7.41,Poor,High
STU00010,18,Male,AIDS,2nd Year,3.0,6.1,5.6,High,6,6,6,10,5,0.4,Good,89.4,8.23,Average,High
STU00011,22,Female,AIML,1st Year,6.5,6.8,2.3,High,9,5,7,10,4,1.1,Poor,75.1,7.71,Poor,High
STU00012,25,Female,CIVIL,3rd Year,7.7,7.8,7.0,High,6,5,7,7,6,1.3,Average,84.1,8.25,Good,High
STU00013,23,Male,AIDS,1st Year,6.4,6.0,3.6,Medium,5,5,4,5,6,2.3,Poor,76.7,7.63,Poor,Medium
STU00014,24,Female,ECE,3rd Year,5.7,7.2,5.6,High,7,4,4,6,6,1.7,Average,81.9,7.87,Good,Medium
